parsed,lcvp
Schefflera actinophylla,Schefflera actinophylla (Endl.) Harms
Schefflera lasiogyne,Schefflera lasiogyne Harms
Schefflera macrophylla,Schefflera macrophylla (Dunn) R.Vig.
Schefflera morototoni,Schefflera morototoni (Aubl.) Maguire & al.
Schefflera vinosa,Schefflera vinosa (Cham. & Schltdl.) Frodin & Fiaschi
Schinus terebinthifolius,Schinus terebinthifolius Raddi
Schinus weimanifolium,
Schismus barbatus,Schismus barbatus (L.) Thell.
Schistostemon,
Schizachyrium imberbe,Schizachyrium salzmannii (Trin. ex Steud.) Nash
Schizachyrium scoparium,Schizachyrium scoparium (Michx.) Nash
Schizachyrium spicatum,Schizachyrium spicatum (Spreng.) Herter
Schizachyrium tenerum,Schizachyrium tenerum Nees
Schizaea pectinata,Schizaea pectinata (L.) Sw.
Schizolobium parahyba,Schizolobium parahyba (Vell.) S.F.Blake
Schkuhria multiflora,Picradeniopsis multiflora (Hook. & Arn.) B.G.Baldwin
Schleichera oleosa,Schleichera oleosa (Lour.) Oken
Schoenocrambe linifolia,Sisymbrium linifolium (Nutt.) Nutt. ex Torr. & A.Gray
Schoenus nigricans,Schoenus nigricans L.
Schoutenia accrescens,Schoutenia accrescens (Mast.) Merr.
Schrankia uncinata,Mimosa quadrivalvis L.
Schrebera swietenioides,Schrebera swietenioides Roxb.
Scirpus sylvaticus,Scirpus sylvaticus L.
Scleria ciliata,Scleria ciliata Michx.
Sclerocactus papyracanthus,Sclerocactus papyracanthus (Engelm.) N.P.Taylor
Sclerolobium paniculatum,Sclerolobium paniculatum Vogel
Scleropogon brevifolius,Scleropogon brevifolius Phil.
Scleropyrum wallichianum,Scleropyrum pentandrum (Dennst.) Mabb.
Scolopia braunii,Scolopia braunii (Klotzsch) Sleumer
Scolopia spinosa,Scolopia spinosa (Roxb.) Warb.
Scorzonera cana,Podospermum canum C.A.Mey.
Scorzonera laciniata,Scorzonera laciniata Jacq.
Scrophularia marilandica,Scrophularia marilandica L.
Scutellaria parvula,Scutellaria parvula Michx.
Scutellaria resinosa,Scutellaria resinosa Torr.
Scutia buxifolia,Scutia buxifolia Reissek
Searsia glauca,Searsia glauca (Thunb.) Moffett
Searsia laevigata,Searsia laevigata (L.) F.A.Barkley
Searsia lucens,Searsia lucens (Hutch.) Moffett
Searsia rosmarinifolia,Searsia rosmarinifolia (Vahl) F.A.Barkley
Sebastiania brasiliensis,Sebastiania brasiliensis Spreng.
Sebastiania commersoniana,Sebastiania klotzschiana (Müll.Arg.) Müll.Arg.
Sebastiania edwalliana,Gymnanthes edwalliana (Pax & K.Hoffm.) Esser & L.S.Oliveira
Sebastiania serrata,Sebastiania serrata (Baill. ex Müll.Arg.) Müll.Arg.
Securinega guaraiuva,Savia dictyocarpa Müll.Arg.
Sedum alpestre,Sedum alpestre Vill.
Sedum atratum,Sedum atratum L.
Sedum tenellum,Sedum tenellum M.Bieb.
Sedum villosum,Sedum villosum L.
Seguieria americana,Seguieria americana L.
Seguieria floribunda,Seguieria americana L.
Selaginella selaginoides,Selaginella selaginoides (L.) P.Beauv. ex Mart. & Schrank
Selago levynsiae,Selago levynsiae Hilliard
Selago luxurians,Selago luxurians Choisy
Selenia aurea,Selenia aurea Nutt.
Selinocarpus diffusus,Acleisanthes diffusa (A.Gray) R.A.Levin
Selinum carvifolia,Selinum carvifolia (L.) L.
Semecarpus anacardium,Semecarpus anacardium L.f.
Semecarpus auriculata,Semecarpus auriculata Bedd.
Semecarpus curtisii,Semecarpus curtisii King
Semecarpus rufovelutinus,Semecarpus rufovelutinus Ridl.
Sempervivum caucasicum,Sempervivum caucasicum Rupr. ex Boiss.
Sempervivum montanum,Sempervivum montanum L.
Senecio,
Senecio atropurpureus,Tephroseris integrifolia (L.) Holub
Senecio burchellii,Senecio burchellii DC.
Senecio flaccidus,Senecio flaccidus Less.
Senecio heterotrichus,
Senecio incanus,Jacobaea erucifolia (L.) G.Gaertn. & al.
Senecio integerrimus,Senecio integerrimus Nutt.
Senecio plattensis,Packera plattensis (Nutt.) W.A.Weber & Á.Löve
Senecio pubigerus,Senecio pubigerus L.
Senecio spartioides,Senecio spartioides Torr. & A.Gray
Senecio sylvaticus,Senecio sylvaticus L.
Senecio taraxacifolius,Turanecio taraxacifolius (M.Bieb.) Hamzaoglu
Senecio triqueter,Senecio triqueter Less.
Senecio umbellatus,Senecio umbellatus L.
Senecio vernalis,Senecio vernalis Franch.
Senegalia polyphylla,Senegalia polyphylla (DC.) Britton
Senna,
Senna bauhinioides,Senna bauhinioides (A.Gray) H.S.Irwin & Barneby
Senna bauhinoides,
Senna dariensis,Senna dariensis (Britton & Rose) H.S.Irwin & Barneby
Senna macranthera,Senna macranthera (Collad.) H.S.Irwin & Barneby
Senna marilandica,Senna marilandica (L.) Link
Senna multijuga,Senna multijuga (Rich.) H.S.Irwin & Barneby
Sequoiadendron giganteum,Sequoiadendron giganteum (Lindl.) J.Buchholz
Serratula tinctoria,Serratula tinctoria L.
Serruria glomerata,Serruria glomerata (L.) R.Br.
Serruria villosa,Serruria villosa (Lam.) R.Br.
Sesleria caerulea,Sesleria caerulea (L.) Ard.
Sesuvium,
Setaria faberi,Setaria faberi R.A.W.Herrm.
Setaria parviflora,Setaria parviflora (Poir.) Kerguélen
Setaria pumila,Setaria helvola (L.f.) Roem. & Schult.
Setaria vaginata,Setaria vaginata Spreng.
Setaria viridis,Setaria viridis (L.) P.Beauv.
Shorea acuminata,Shorea acuminata Dyer
Shorea bracteolata,Shorea bracteolata Dyer
Shorea dasyphylla,Shorea dasyphylla Foxw.
Shorea guiso,Shorea guiso Blume
Shorea hopeifolia,Shorea hopeifolia (F.Heim) Symington
Shorea lepidota,Shorea lepidota (Korth.) Blume
Shorea leprosula,Shorea leprosula Miq.
Shorea macroptera,Shorea macroptera Dyer
Shorea maxwelliana,Shorea maxwelliana King
Shorea multiflora,Shorea multiflora (Burck) Symington
Shorea ochrophloia,Shorea ochrophloia Symington
Shorea ovalis,Shorea ovalis (Korth.) Blume
Shorea parvifolia,Shorea parvifolia Dyer
Shorea pauciflora,Shorea pauciflora King
Shorea roxburghii,Shorea roxburghii G.Don
Sibbaldia procumbens,Sibbaldia procumbens L.
Sida spinosa,Sida spinosa L.
Sidalcea nervata,Sidalcea oregana (Nutt. ex Torr. & A.Gray) A.Gray
Sideroxylon lanuginosum,Sideroxylon lanuginosum Michx.
Silaum silaus,Silaum silaus (L.) Schinz & Thell.
Silene acaulis,Silene acaulis (L.) Jacq.
Silene alba,Silene latifolia Poir.
Silene antirrhina,Silene antirrhina L.
Silene burchellii,Silene burchellii Otth ex DC.
Silene dioica,Silene dioica (L.) Clairv.
Silene rupestris,Atocion rupestre (L.) Oxelman
Silene saxatilis,Silene saxatilis Sims
Silene vulgaris,Silene vulgaris (Moench) Garcke
Silphium integrifolium,Silphium integrifolium Michx.
Silphium laciniatum,Silphium laciniatum L.
Simarouba,
Simarouba amara,Simarouba amara Aubl.
Simarouba versicolor,Simarouba versicolor A.St.-Hil.
Sindora coriacea,Sindora coriacea (Baker) Prain
Sindora echinocalyx,Sindora echinocalyx Prain
Sindora velutina,Sindora velutina Baker
Sindora wallichii,Sindora wallichii Benth.
Siparuna,
Siparuna cristata,Siparuna cristata (Poepp. & Endl.) A.DC.
Siparuna guianensis,Siparuna guianensis Aubl.
Siparuna pauciflora,Siparuna pauciflora (Beurl.) A.DC.
Siparuna subscandens,Siparuna stellulata Perkins
Siphoneugena densiflora,Siphoneugena densiflora O.Berg
Siphonodon australis,Siphonodon australis Benth.
Siphonodon membranaceus,Siphonodon membranaceus F.M.Bailey
Sisymbrium altissimum,Sisymbrium altissimum L.
Sisyrinchium campestre,Sisyrinchium campestre E.P.Bicknell
Sisyrinchium vaginatum,Sisyrinchium vaginatum Spreng.
Sitanion hystrix,Elymus elymoides (Raf.) Swezey
Sloanea,
Sloanea australis,Sloanea australis (Benth.) F.Muell.
Sloanea hirsuta,Sloanea hirsuta Planch. ex Benth.
Sloanea javanica,Sloanea javanica (Miq.) Koord. & Valeton
Sloanea langii,
Sloanea lasiocoma,Sloanea lasiocoma K.Schum.
Sloanea macbrydei,Sloanea macbrydei F.Muell.
Sloanea meianthera,Sloanea meianthera Donn.Sm.
Sloanea terniflora,Sloanea terniflora (Moc. & Sessé ex DC.) Standl.
Smilax tamnoides,Smilax tamnoides L.
Socratea exorrhiza,
Solanum,
Solanum arboreum,Solanum arboreum Dunal
Solanum argenteum,Solanum argenteum Dunal
Solanum asperum,Solanum asperum Rich.
Solanum carolinense,Solanum carolinense L.
Solanum circinatum,Solanum circinatum Bohs
Solanum deflexiflorum,Solanum deflexiflorum Bitter
Solanum elaeagnifolium,Solanum elaeagnifolium Cav.
Solanum granuloso-leprosum,Solanum granuloso-leprosum Dunal
Solanum hayesii,Solanum hayesii Fernald
Solanum jamesii,Solanum jamesii Torr.
Solanum lepidotum,Solanum lepidotum Dunal
Solanum lycocarpum,Solanum lycocarpum A.St.-Hil.
Solanum nigrum,Solanum nigrum L.
Solanum pabstii,Solanum pabstii L.B.Sm. & Downs
Solanum pseudoquina,Solanum pseudoquina A.St.-Hil.
Solanum ptycanthum,
Solanum ptychanthum,Solanum ptychanthum Dunal
Solanum rostratum,Solanum rostratum Dunal
Solanum sanctaecatharinae,
Solanum swartzianum,Solanum swartzianum Roem. & Schult.
Soldanella alpina,Soldanella alpina L.
Soldanella montana,Soldanella montana Willd.
Soldanella pusilla,Soldanella pusilla Baumgartner
Solidago,
Solidago canadensis,Solidago canadensis L.
Solidago gigantea,Solidago gigantea Aiton
Solidago glaberrima,Solidago missouriensis Nutt.
Solidago ludiviciana,
Solidago missouriensis,Solidago missouriensis Nutt.
Solidago mollis,Solidago mollis Bartl.
Solidago nemoralis,Solidago nemoralis Aiton
Solidago rigida,Solidago rigida L.
Solidago speciosa,Solidago speciosa A.Gray
Solidago virgaurea,Solidago virgaurea L.
Sonchus arvensis,Sonchus arvensis L.
Sonchus asper,Sonchus asper (L.) Hill
Sonchus oleraceus,Sonchus oleraceus L.
Sophora nuttalliana,Sophora nuttalliana B.L.Turner
Sorbus acutisecta,Sorbus acutisecta Reuther & O.Schwarz
Sorbus americana,Sorbus americana Marshall
Sorbus aria,Sorbus aria (L.) Crantz
Sorbus aucuparia,Sorbus aucuparia L.
Sorbus torminalis,Sorbus torminalis (L.) Crantz
Sorghastrum nutans,Sorghastrum nutans (L.) Nash
Sorocea affinis,Sorocea affinis Hemsl.
Sorocea bonplandii,Sorocea bonplandii (Baill.) W.C.Burger & al.
Soroveta ambigua,Restio ambiguus Mast.
Spachea membranacea,Spachea membranacea Cuatrec.
Spartina bakerii,
Spartina pectinata,Spartina pectinata Bosc ex Link
Spergula arvensis,Spergula arvensis L.
Spergula morisonii,Spergula morisonii Boreau
Spergularia media,Spergularia media (L.) C.Presl
Spergularia rubra,Spergularia rubra (L.) J.Presl & C.Presl
Spermacoce terminalis,Spermacoce capitata Ruiz & Pav.
Spermolepis echinata,Spermolepis echinata (Nutt. ex DC.) A.Heller
Spermolepis inermis,Spermolepis inermis (Nutt. ex DC.) Mathias & Constance
Sphaeralcea coccinae,
Sphaeralcea coccinea,Sphaeralcea coccinea (Nutt.) Rydb.
Sphaeralcea hastulata,Sphaeralcea hastulata A.Gray
Sphaeralcea leptophylla,Sphaeralcea leptophylla (A.Gray) Rydb.
Sphaeralcea munroana,Sphaeralcea munroana (Douglas ex Lindl.) Spach ex A.Gray
Sphaeralcea polychroma,Sphaeralcea polychroma LaDuke
Sphaeralcea wrightii,Sphaeralcea wrightii A.Gray
Sphalmium racemosum,Sphalmium racemosum (C.T.White) B.G.Briggs & al.
Sphenopholis obtusata,Sphenopholis obtusata (Michx.) Scribn.
Sphenostemon lobosporus,Sphenostemon lobosporus (F.Muell.) L.S.Sm.
Spiraea alba,Spiraea alba DuRoi
Spiraea tomentosa,Spiraea tomentosa L.
Spiranthes vernalis,Spiranthes vernalis Engelm. & A.Gray
Spirotheca rhodostyla,Spirotheca rhodostyla Cuatrec.
Spondias,
Spondias mombin,Spondias mombin L.
Spondias radlkoferi,Spondias radlkoferi Donn.Sm.
Sporobolus,
Sporobolus airoides,Sporobolus airoides (Torr.) Torr.
Sporobolus asper,Sporobolus compositus (Poir.) Merr.
Sporobolus compositus,Sporobolus compositus (Poir.) Merr.
Sporobolus contractus,Sporobolus contractus Hitchc.
Sporobolus cryptandrus,Sporobolus cryptandrus (Torr.) A.Gray
Sporobolus flexuosus,Sporobolus flexuosus (Vasey) Rydb.
Sporobolus heterolepis,Sporobolus heterolepis (A.Gray) A.Gray
Sporobolus neglectus,Sporobolus neglectus Nash
Sporobolus virginicus,Sporobolus virginicus (L.) Kunth
Staavia radiata,Staavia radiata (L.) Dahl
Staberoha banksii,Staberoha banksii Pillans
Staberoha cernua,Staberoha cernua (L.f.) T.Durand & Schinz
Staberoha distachyos,Staberoha distachyos (Rottb.) Kunth
Steganthera macooraia,Steganthera macooraia (F.M.Bailey) P.K.Endress
Stelechocarpus cauliflorus,Stelechocarpus cauliflorus (Scheff.) J.Sinclair
Stellaria alsine,Stellaria alsine Grimm
Stellaria crassipes,Stellaria longipes Goldie
Stellaria longipes,Stellaria longipes Goldie
Stellaria media,Stellaria media (L.) Vill.
Stellaria palustris,Stellaria palustris Ehrh. ex Hoffm.
Stemonurus malaccensis,Stemonurus malaccensis (Mast.) Sleumer
Stemonurus umbellatus,Stemonurus umbellatus Becc.
Stenocarpus davallioides,Stenocarpus davallioides Foreman & B.Hyland
Stenocarpus reticulatus,Stenocarpus reticulatus C.T.White
Stenocarpus sinuatus,Stenocarpus sinuatus (Loudon) Endl.
Stenosiphon linifolius,Oenothera glaucifolia W.L.Wagner & Hoch
Stenotaphrum secundatum,Stenotaphrum secundatum (Walter) Kuntze
Stephanomeria exigua,Stephanomeria exigua Nutt.
Stephanomeria pauciflora,Stephanomeria pauciflora (Torr.) A.Nelson
Stephanopodium angulatum,Stephanopodium angulatum (Little) Prance
Sterculia,
Sterculia apetala,Sterculia apetala (Jacq.) H.Karst.
Sterculia chicha,Sterculia apetala (Jacq.) H.Karst.
Sterculia coccinea,Pterygota alata (Roxb.) R.Br.
Sterculia cordata,Sterculia cordata Blume
Sterculia hispidissima,unresolved
Sterculia macrophylla,Sterculia macrophylla Vent.
Sterculia parviflora,Sterculia parviflora Roxb.
Sterculia rubiginosa,Sterculia rubiginosa Vent.
Sterculia shillinglawii,Sterculia shillinglawii F.Muell.
Sterculia striata,Sterculia striata A.St.-Hil. & Naudin
Stereospermum colais,Stereospermum colais (Buch.-Ham. ex Dillwyn) Mabb.
Stevia aristata,Stevia aristata D.Don ex Hook. & Arn.
Stilbe ericoides,Stilbe ericoides (L.) L.
Stilbe vestita,Stilbe vestita P.J.Bergius
Stipa filiculmis,Nassella filiculmis (Delile) Barkworth
Stipa melanosperma,Nassella melanosperma (J.Presl) Barkworth
Stipa tenuissima,Nassella tenuissima (Trin.) Barkworth
Stipa yurgensii,
Stoebe capitata,Stoebe capitata P.J.Bergius
Stoebe cyathuloides,Stoebe cyathuloides Schltr.
Stoebe fusca,Stoebe fusca (L.) Thunb.
Stoebe incana,Seriphium incanum (Thunb.) Pers.
Stoebe plumosa,Seriphium plumosum L.
Stoebe rosea,Stoebe rosea Wolley-Dod
Storckiella australiensis,Storckiella australiensis J.H.Ross & B.Hyland
Streblus brunonianus,Streblus pendulinus (Endl.) F.Muell.
Streblus elongatus,Streblus elongatus (Miq.) Corner
Streblus glaber,Streblus glaber (Merr.) Corner
Streptopus amplexifolius,Streptopus amplexifolius (L.) DC.
Strombosia ceylanica,Strombosia ceylanica Gardner
Strombosia javanica,Strombosia javanica Blume
Strombosia maingayi,Strombosia ceylanica Gardner
Strophostyles helvola,
Strophostyles leiosperma,Strophostyles leiosperma (Torr. & A.Gray) Piper
Struthiola ciliata,Struthiola ciliata (L.) Lam.
Struthiola dodecandra,Struthiola dodecandra (L.) Druce
Strychnos brasiliensis,Strychnos brasiliensis (Spreng.) Mart.
Strychnos pseudoquina,Strychnos pseudoquina A.St.-Hil.
Stryphnodendron adstringens,Stryphnodendron adstringens (Mart.) Coville
Stryphnodendron rotundifolium,Stryphnodendron rotundifolium Mart.
Stuckenia pectinata,Stuckenia pectinata (L.) Börner
Stylapterus fruticulosus,Stylapterus fruticulosus (L.f.) A.Juss.
Stylogyne turbacensis,Stylogyne turbacensis (Kunth) Mez
Stylosanthes montevidensis,Stylosanthes montevidensis Vogel
Styrax acuminatus,Styrax acuminatus Pohl
Styrax benzoin,Styrax benzoin Dryand.
Styrax camporum,Styrax camporum Pohl
Styrax ferrugineus,Styrax ferrugineus Nees & Mart.
Styrax guyanensis,Styrax guyanensis A.DC.
Styrax leprosus,Styrax leprosus Hook. & Arn.
Styrax pohlii,Styrax pohlii A.DC.
Styrax pohlli,
Succisa pratensis,Succisa pratensis Moench
Sundacarpus amarus,Sundacarpus amarus (Blume) C.N.Page
Suregada multiflora,Suregada multiflora (A.Juss.) Baill.
Swartzia simplex,Swartzia simplex (Sw.) Spreng.
Swartzia simplex-grandiflora,
Sweetia fruticosa,Sweetia fruticosa Spreng.
Syagrus,
Syagrus oleracea,Syagrus oleracea (Mart.) Becc.
Syagrus romanzoffiana,Syagrus romanzoffiana (Cham.) Glassman
Syagrus rommanzoffiana,
Symphonia globulifera,Symphonia globulifera L.f.
Symphoricarpos occidentalis,Symphoricarpos occidentalis Hook.
Symphoricarpos orbiculatus,Symphoricarpos orbiculatus Moench
Symphyotrichum,
Symphyotrichum ascendens,Symphyotrichum ascendens (Lindl.) G.L.Nesom
Symphyotrichum drummondii,Symphyotrichum drummondii (Lindl. ex Hook.) G.L.Nesom
Symphyotrichum dumosum,Symphyotrichum dumosum (L.) G.L.Nesom
Symphyotrichum ericoides,Symphyotrichum ericoides (L.) G.L.Nesom
Symphyotrichum laeve,Symphyotrichum laeve (L.) Á.Löve & D.Löve
Symphyotrichum lanceolatum,Symphyotrichum lanceolatum (Willd.) G.L.Nesom
Symphyotrichum oblongifolium,Symphyotrichum oblongifolium (Nutt.) G.L.Nesom
Symphyotrichum ontarionsis,
Symphyotrichum pilosum,Symphyotrichum pilosum (Willd.) G.L.Nesom
Symphyotrichum sericeum,Symphyotrichum sericeum (Vent.) G.L.Nesom
Symphyotrichum subulatum,Aster subulatus Michx.
Symphytum officinale,Symphytum officinale L.
Symplocos cerasifolia,Symplocos cerasifolia Wall.
Symplocos cochinchinensis,Symplocos cochinchinensis (Lour.) S.Moore
Symplocos crassipes,Symplocos crassipes C.B.Clarke
Symplocos gittinsii,Symplocos gittinsii Jessup
Symplocos hiemalis,Symplocos hiemalis Lingelsh.
Symplocos lanceolata,Symplocos oblongifolia Casar.
Symplocos ophirensis,Symplocos ophirensis C.B.Clarke
Symplocos paucistaminea,Symplocos paucistaminea F.Muell. & F.M.Bailey
Symplocos pubescens,Symplocos pubescens Klotzsch ex Benth.
Symplocos racemosa,Symplocos racemosa Roxb.
Symplocos revoluta,Symplocos revoluta A.DC.
Symplocos rubiginosa,Symplocos rubiginosa Wall.
Symplocos tenuifolia,Symplocos tenuifolia Brand
Symplocos uniflora,Symplocos uniflora (Pohl) Benth.
Symplocus lanceolata,
Syncarpha canescens,Syncarpha canescens (L.) B.Nord.
Syncarpha gnaphaloides,
Syncarpha speciosissima,Syncarpha speciosissima (L.) B.Nord.
Syncarpha vestita,Syncarpha vestita (L.) B.Nord.
Synechanthus warscewiczianus,
Syngonanthus caulescens,Syngonanthus caulescens (Poir.) Ruhland
Syngonanthus gracilis,Syngonanthus gracilis (Bong.) Ruhland
Syngonanthus nitens,Syngonanthus nitens (Bong.) Ruhland
Syngonanthus xeranthemoides,Comanthera xeranthemoides (Bong.) L.R.Parra & Giul.
Synima,
Synima cordierorum,
Synoum glandulosum,Synoum glandulosum (Sm.) A.Juss.
Syringodium isoetifolium,Syringodium isoetifolium (Asch.) Dandy
Sysirinchium,
Syzygium apodophyllum,Syzygium apodophyllum (F.Muell.) B.Hyland
Syzygium canicortex,Syzygium canicortex B.Hyland
Syzygium cormiflorum,Syzygium cormiflorum (F.Muell.) B.Hyland
Syzygium cryptophlebium,Syzygium wilsonii (F.Muell.) B.Hyland
Syzygium cumini,Syzygium cumini (L.) Skeels
Syzygium dansiei,Syzygium dansiei B.Hyland
Syzygium endophloium,Syzygium endophloium B.Hyland
Syzygium erythrocalyx,Syzygium erythrocalyx (C.T.White) B.Hyland
Syzygium forte,Syzygium forte (F.Muell.) B.Hyland
Syzygium gardneri,Syzygium gardneri Thwaites
Syzygium gustavioides,Syzygium gustavioides (F.M.Bailey) B.Hyland
Syzygium hemisphericum,Syzygium hemisphericum (Wight) Alston
Syzygium johnsonii,Syzygium johnsonii (F.Muell.) B.Hyland
Syzygium kuranda,Syzygium kuranda (F.M.Bailey) B.Hyland
Syzygium laetum,Syzygium laetum (Buch.-Ham.) Gandhi
Syzygium luehmannii,Syzygium luehmannii (F.Muell.) L.A.S.Johnson
Syzygium malaccense,Syzygium malaccense (L.) Merr. & L.M.Perry
Syzygium maraca,Syzygium maraca Craven & Biffin
Syzygium monospermum,Syzygium monospermum Craven
Syzygium papyraceum,Syzygium papyraceum B.Hyland
Syzygium pseudofastigiatum,Syzygium pseudofastigiatum B.Hyland
Syzygium puberulum,Syzygium puberulum Merr. & L.M.Perry
Syzygium sayeri,Syzygium sayeri (F.Muell.) B.Hyland
Syzygium trachyphloium,Syzygium trachyphloium (C.T.White) B.Hyland
Syzygium wesa,Syzygium wesa B.Hyland
Tabebuia,
Tabebuia aurea,Tabebuia aurea (SilvaManso) Benth. & Hook.f. ex S.Moore
Tabebuia chrysotricha,Handroanthus chrysotrichus (Mart. ex DC.) Mattos
Tabebuia heptaphylla,Handroanthus heptaphyllus (Vell.) Mattos
Tabebuia impetiginosa,Handroanthus impetiginosus (Mart. ex DC.) Mattos
Tabebuia ochracea,Tabebuia ochracea A.H.Gentry
Tabebuia rosea,Tabebuia rosea (Bertol.) Bertero ex A.DC.
Tabebuia roseo-alba,Tabebuia roseo-alba (Ridl.) Sandwith
Tabernaemontana arborea,Tabernaemontana arborea Rose ex Donn.Sm.
Tabernaemontana catharinensis,Tabernaemontana catharinensis A.DC.
Tabernaemontana corymbosa,Tabernaemontana corymbosa Roxb. ex Wall.
Tabernaemontana grandiflora,Tabernaemontana grandiflora Jacq.
Tabernaemontana malaccensis,Tabernaemontana pauciflora Blume
Tabernaemontana panamensis,Tabernaemontana panamensis (Markgr. & al.) Leeuwenb.
Tachigali panamensis,Tachigali panamensis VanDerWerff & N.Zamora
Tachigali versicolor,Tachigali versicolor Standl. & L.O.Williams
