parsed,common,lcvp,fishbase,ebird
Diodora jukesii,NA,NA,NA,NA
Diodora lincolnensis,NA,NA,NA,NA
Diodora listeri,NA,NA,NA,NA
Diodora sayi,NA,NA,NA,NA
Diogenes edwardsii,NA,NA,NA,NA
Diogenes leptocerus,NA,NA,NA,NA
Diogenes nitidimanus,NA,NA,NA,NA
Diogenes pugilator,NA,NA,NA,NA
Diogenichthys atlanticus,fishes,NA,Diogenichthys atlanticus,NA
Diogenichthys laternatus,fishes,NA,Diogenichthys laternatus,NA
Diogenichthys panurgus,fishes,NA,Diogenichthys panurgus,NA
Diomedea albatrus,birds,NA,NA,NA
Diomedea amsterdamens,birds,NA,NA,NA
Diomedea epomophora,birds,NA,NA,Diomedea epomophora
Diomedea exulans,birds,NA,NA,Diomedea exulans
Diomedea immutabilis,birds,NA,NA,NA
Diomedea nigripes,birds,NA,NA,NA
Diomedea royal,birds,NA,NA,NA
Diomedea sanfordi,birds,NA,NA,NA
Diopatra cuprea,NA,NA,NA,NA
Diopatra neotridens,NA,NA,NA,NA
Diopatra ornata,NA,NA,NA,NA
Diopatra papillata,NA,NA,NA,NA
Diopatra splendidissima,NA,NA,NA,NA
Diopatra sugokai,NA,NA,NA,NA
Diopatra tridentata,NA,NA,NA,NA
Dioplosyllis octodentata,NA,NA,NA,NA
Dioplosyllis tridentata,NA,NA,NA,NA
Dioryctria abietella,NA,NA,NA,NA
Dioryctria mutatella,NA,NA,NA,NA
Dioryctria schuetzeella,NA,NA,NA,NA
Diosma hirsuta,vascular plants,Diosma hirsuta L.,NA,NA
Diosma oppositifolia,vascular plants,Diosma oppositifolia L.,NA,NA
Diospyros adenophora,vascular plants,Diospyros adenophora Bakh.,NA,NA
Diospyros andamanica,vascular plants,Diospyros andamanica (Kurz) Bakh.,NA,NA
Diospyros apiculata,vascular plants,Diospyros apiculata Hiern,NA,NA
Diospyros areolata,vascular plants,Diospyros areolata King & Gamble,NA,NA
Diospyros argentea,vascular plants,Diospyros argentea Griff.,NA,NA
Diospyros artanthifolia,vascular plants,Diospyros artanthifolia Mart. ex Miq.,NA,NA
Diospyros assimilis,vascular plants,Diospyros ebenum J.Koenig ex Retz.,NA,NA
Diospyros bourdillonii,vascular plants,Diospyros bourdillonii Brandis,NA,NA
Diospyros burchellii,vascular plants,Diospyros burchellii Hiern,NA,NA
Diospyros buxifolia,vascular plants,Diospyros buxifolia (Blume) Hiern,NA,NA
Diospyros cauliflora,vascular plants,Diospyros cauliflora Blume,NA,NA
Diospyros cupulosa,vascular plants,Diospyros cupulosa (F.Muell.) F.Muell.,NA,NA
Diospyros demona,vascular plants,NA,NA,NA
Diospyros diepenhorstii,vascular plants,Diospyros diepenhorstii Miq.,NA,NA
Diospyros ghatensis,vascular plants,Diospyros ghatensis B.R.Ramesh & DeFranceschi,NA,NA
Diospyros glabra,vascular plants,Diospyros glabra (L.) DeWinter,NA,NA
Diospyros hebecarpa,vascular plants,Diospyros hebecarpa A.Cunn. ex Benth.,NA,NA
Diospyros inconstans,vascular plants,Diospyros inconstans Jacq.,NA,NA
Diospyros lancifolia,vascular plants,NA,NA,NA
Diospyros latisepala,vascular plants,Diospyros latisepala Ridl.,NA,NA
Diospyros maingayi,vascular plants,Diospyros maingayi (Hiern) Bakh.,NA,NA
Diospyros montana,vascular plants,Diospyros montana Roxb.,NA,NA
Diospyros nutans,vascular plants,Diospyros nutans King & Gamble,NA,NA
Diospyros penangiana,vascular plants,Diospyros penangiana King & Gamble,NA,NA
Diospyros pendula,vascular plants,Diospyros pendula Hasselt ex Hassk.,NA,NA
Diospyros pentamera,vascular plants,Diospyros pentamera (F.Muell.) Woods & F.Muell.,NA,NA
Diospyros pruriens,vascular plants,Diospyros pruriens Dalzell,NA,NA
Diospyros pyrrhocarpa,vascular plants,Diospyros pyrrhocarpa Miq.,NA,NA
Diospyros rufa,vascular plants,Diospyros rufa King & Gamble,NA,NA
Diospyros scortechinii,vascular plants,Diospyros scortechinii King & Gamble,NA,NA
Diospyros singaporensis,vascular plants,Diospyros singaporensis Bakh.,NA,NA
Diospyros sumatrana,vascular plants,Diospyros sumatrana Miq.,NA,NA
Diospyros sylvatica,vascular plants,Diospyros sylvatica Roxb.,NA,NA
Diospyros venosa,vascular plants,Diospyros venosa Wall. ex A.DC.,NA,NA
Diospyros wallichii,vascular plants,Diospyros wallichii King & Gamble,NA,NA
Diphasia alata,NA,NA,NA,NA
Diphasia attenuata,NA,NA,NA,NA
Diphasia falax,NA,NA,NA,NA
Diphasia fallax,NA,NA,NA,NA
Diphasia nigra,NA,NA,NA,NA
Diphasia pinaster,NA,NA,NA,NA
Diphasia rosacea,NA,NA,NA,NA
Diphasiastrum alpinum,vascular plants,Diphasiastrum alpinum (L.) Holub,NA,NA
Diphyes antarctica,NA,NA,NA,NA
Diphyes bojani,NA,NA,NA,NA
Diphyes chamissonis,NA,NA,NA,NA
Diphyes dispar,NA,NA,NA,NA
Diplacanthopoma brachysoma,fishes,NA,Diplacanthopoma brachysoma,NA
Diplecogaster bimaculata,fishes,NA,Diplecogaster bimaculata,NA
Diplectrona felix,NA,NA,NA,NA
Diplectrum bivittatum,fishes,NA,Diplectrum bivittatum,NA
Diplectrum formosum,fishes,NA,Diplectrum formosum,NA
Diplectrum radiale,fishes,NA,Diplectrum radiale,NA
Dipleurina lacustrata,NA,NA,NA,NA
Dipleurosoma typicum,NA,NA,NA,NA
Diploastrea heliopora,NA,NA,NA,NA
Diplobrachia floridiensis,NA,NA,NA,NA
Diplobrachia similis,NA,NA,NA,NA
Diplocheila macromandibularis,NA,NA,NA,NA
Diplocheila zeelandica,NA,NA,NA,NA
Diplocirrus capensis,NA,NA,NA,NA
Diplocirrus glaucus,NA,NA,NA,NA
Diplocirrus hirsutus,NA,NA,NA,NA
Diplocirrus longisetosus,NA,NA,NA,NA
Diplodactylus alboguttatus,NA,NA,NA,NA
Diplodactylus spinigerus,NA,NA,NA,NA
Diplodasys minor,NA,NA,NA,NA
Diplodonta impolita,NA,NA,NA,NA
Diplodonta orbella,NA,NA,NA,NA
Diplodonta punctata,NA,NA,NA,NA
Diplodonta rotundata,NA,NA,NA,NA
Diplodonta semiaspera,NA,NA,NA,NA
Diplodonta sericata,NA,NA,NA,NA
Diplodonta soror,NA,NA,NA,NA
Diplodus annularis,fishes,NA,Diplodus annularis,NA
Diplodus argenteus,fishes,NA,Diplodus argenteus,NA
Diplodus caudimacula,fishes,NA,Diplodus caudimacula,NA
Diplodus cervinus,fishes,NA,Diplodus cervinus,NA
Diplodus holbrooki,fishes,NA,Diplodus holbrookii,NA
Diplodus holbrookii,fishes,NA,Diplodus holbrookii,NA
Diplodus puntazzo,fishes,NA,Diplodus puntazzo,NA
Diplodus sargus,fishes,NA,Diplodus sargus,NA
Diplodus vulgaris,fishes,NA,Diplodus vulgaris,NA
Diploglottis bernieana,vascular plants,Diploglottis bernieana S.T.Reynolds,NA,NA
Diploglottis bracteata,vascular plants,Diploglottis bracteata Leenh.,NA,NA
Diploglottis diphyllostegia,vascular plants,Diploglottis diphyllostegia (F.Muell.) F.M.Bailey,NA,NA
Diplogrammus pauciradiatus,fishes,NA,Diplogrammus pauciradiatus,NA
Diplolychnus lucifer,fishes,NA,Borostomias mononema,NA
Diplolychnus mononema,fishes,NA,Borostomias mononema,NA
Diploneis bombus,NA,NA,NA,NA
Diploneis cabro,NA,NA,NA,NA
Diploneis crabro,NA,NA,NA,NA
Diploneis didyma,NA,NA,NA,NA
Diploneis interrupta,NA,NA,NA,NA
Diploneis littoralis,NA,NA,NA,NA
Diploneis ovalis,NA,NA,NA,NA
Diplonotos corrugatus,NA,NA,NA,NA
Diplopelta bomba,NA,NA,NA,NA
Diplopelta parva,NA,NA,NA,NA
Diplopeltis cirrhatus,NA,NA,NA,NA
Diplophos maderensis,fishes,NA,Manducus maderensis,NA
Diplophos orientalis,fishes,NA,Diplophos orientalis,NA
Diplophos rebainsi,fishes,NA,Diplophos rebainsi,NA
Diplophos taenia,fishes,NA,Diplophos taenia,NA
Diploprion bifasciatum,fishes,NA,Diploprion bifasciatum,NA
Diplopsalis lenticula,NA,NA,NA,NA
Diplopsalopsis orbicularis,NA,NA,NA,NA
Diplopseustis perieresalis,NA,NA,NA,NA
Diplopteraster hurleyi,NA,NA,NA,NA
Diplopteraster multipes,NA,NA,NA,NA
Diplopteraster nsp,NA,NA,NA,NA
Diplosolen obelia,NA,NA,NA,NA
Diplosoma glandulosum,NA,NA,NA,NA
Diplosoma listerianum,NA,NA,NA,NA
Diplosoma macdonaldi,NA,NA,NA,NA
Diplosoma spongiforme,NA,NA,NA,NA
Diplospinus multistriatus,fishes,NA,Diplospinus multistriatus,NA
Diplospora lasiantha,vascular plants,Diplospora lasiantha Ridl.,NA,NA
Diplospora malaccense,vascular plants,Diplospora malaccensis Hook.f.,NA,NA
Diplothyra smithii,NA,NA,NA,NA
Dipodomys merriami,mammals,NA,NA,NA
Dipodomys ordii,mammals,NA,NA,NA
Dipodomys spec,mammals,NA,NA,NA
Dipodomys spectabilis,mammals,NA,NA,NA
Dipolydora akaina,NA,NA,NA,NA
Dipolydora bidentata,NA,NA,NA,NA
Dipolydora cardalia,NA,NA,NA,NA
Dipolydora caulleryi,NA,NA,NA,NA
Dipolydora commensalis,NA,NA,NA,NA
Dipolydora concharum,NA,NA,NA,NA
Dipolydora elegantissima,NA,NA,NA,NA
Dipolydora giardi,NA,NA,NA,NA
Dipolydora normalis,NA,NA,NA,NA
Dipolydora pygidialis,NA,NA,NA,NA
Dipolydora quadrilobata,NA,NA,NA,NA
Dipolydora socialis,NA,NA,NA,NA
Dipolydora tetrabranchia,NA,NA,NA,NA
Diproctacanthus xanthurus,fishes,NA,Diproctacanthus xanthurus,NA
Dipsacaster magnificus,NA,NA,NA,NA
Dipsachaster magnificus,NA,NA,NA,NA
Dipsastraea amicorum,NA,NA,NA,NA
Dipsastraea danai,NA,NA,NA,NA
Dipsastraea favus,NA,NA,NA,NA
Dipsastraea helianthoides,NA,NA,NA,NA
Dipsastraea laxa,NA,NA,NA,NA
Dipsastraea lizardensis,NA,NA,NA,NA
Dipsastraea maritima,NA,NA,NA,NA
Dipsastraea matthaii,NA,NA,NA,NA
Dipsastraea maxima,NA,NA,NA,NA
Dipsastraea pallida,NA,NA,NA,NA
Dipsastraea rotumana,NA,NA,NA,NA
Dipsastraea speciosa,NA,NA,NA,NA
Dipsastraea veroni,NA,NA,NA,NA
Dipsastraea vietnamensis,NA,NA,NA,NA
Dipsastrea favia,NA,NA,NA,NA
Dipterix alata,vascular plants,NA,NA,NA
Dipterocarpus cornutus,vascular plants,Dipterocarpus cornutus Dyer,NA,NA
Dipterocarpus costulatus,vascular plants,Dipterocarpus costulatus Slooten,NA,NA
Dipterocarpus crinitus,vascular plants,Dipterocarpus crinitus Dyer,NA,NA
Dipterocarpus indicus,vascular plants,Dipterocarpus indicus Bedd.,NA,NA
Dipterocarpus kunstleri,vascular plants,Dipterocarpus kunstleri King,NA,NA
Dipterocarpus sublamellatus,vascular plants,Dipterocarpus sublamellatus Foxw.,NA,NA
Dipterygonotus balteatus,fishes,NA,Dipterygonotus balteatus,NA
Dipteryx oleifera,vascular plants,Dipteryx oleifera Benth.,NA,NA
Dipteryx polyphylla,vascular plants,Dipteryx polyphylla Huber,NA,NA
Dipturus australis,fishes,NA,Dentiraja australis,NA
Dipturus batis,fishes,NA,Dipturus batis,NA
Dipturus cerva,fishes,NA,Dentiraja cerva,NA
Dipturus flavirostris,fishes,NA,Dipturus flavirostris,NA
Dipturus gudgeri,fishes,NA,Dipturus gudgeri,NA
Dipturus innominatus,fishes,NA,Dipturus innominatus,NA
Dipturus kwangtungensis,fishes,NA,Dipturus kwangtungensis,NA
Dipturus laevis,fishes,NA,Dipturus laevis,NA
Dipturus lemprieri,fishes,NA,Dentiraja lemprieri,NA
Dipturus nasutus,fishes,NA,Zearaja nasuta,NA
Dipturus oxyrinchus,fishes,NA,Dipturus oxyrinchus,NA
Dipturus tengu,fishes,NA,Dipturus tengu,NA
Dipturus whitleyi,fishes,NA,Spiniraja whitleyi,NA
Dipurena strangulata,NA,NA,NA,NA
Diretmichthys parini,fishes,NA,Diretmichthys parini,NA
Diretmoides parini,fishes,NA,Diretmichthys parini,NA
Diretmus argenteus,fishes,NA,Diretmus argenteus,NA
Dirona albolineata,NA,NA,NA,NA
Discestra oregonica,NA,NA,NA,NA
Discestra trifolii,NA,NA,NA,NA
Dischistodus chrysopoecilus,fishes,NA,Dischistodus chrysopoecilus,NA
Dischistodus fasciatus,fishes,NA,Dischistodus fasciatus,NA
Dischistodus melanotus,fishes,NA,Dischistodus melanotus,NA
Dischistodus perscipillatus,fishes,NA,NA,NA
Dischistodus perspicilatus,fishes,NA,NA,NA
Dischistodus perspicillatus,fishes,NA,Dischistodus perspicillatus,NA
Dischistodus prosopotaenia,fishes,NA,Dischistodus prosopotaenia,NA
Dischistodus pseudochrysopoecilus,fishes,NA,Dischistodus pseudochrysopoecilus,NA
Discias atlanticus,NA,NA,NA,NA
Discobotellina biperforata,NA,NA,NA,NA
Discoconchoecia elegans,NA,NA,NA,NA
Discoid diatoms,NA,NA,NA,NA
Disco inflatus,NA,NA,NA,NA
Disconchoecia elegans,NA,NA,NA,NA
Discophora guianensis,vascular plants,Discophora guianensis Miers,NA,NA
Discophora sondaica,NA,NA,NA,NA
Discoporella umbellata,NA,NA,NA,NA
Discopyge tschudii,fishes,NA,Discopyge tschudii,NA
Discorbina rosacea,NA,NA,NA,NA
Discorsopagurus schmitti,NA,NA,NA,NA
Discosphaera tubifer,NA,NA,NA,NA
Discosphaera tubifera,NA,NA,NA,NA
Discostella stelligera,NA,NA,NA,NA
Discoteuthis discus,NA,NA,NA,NA
Discoteuthis laciniosa,NA,NA,NA,NA
Disintegrated fish-unidentifable,NA,NA,NA,NA
Dispanopeus texanus,NA,NA,NA,NA
Disparago anomala,vascular plants,Disparago anomala Schltr. ex Levyns,NA,NA
Disparago tortilis,vascular plants,Disparago tortilis (DC.) Sch.Bip.,NA,NA
Dispio uncinata,NA,NA,NA,NA
Dispora crucigenioides,NA,NA,NA,NA
Disporella fimbriata,NA,NA,NA,NA
Disporella hispida,NA,NA,NA,NA
Disporella novaehollandiae,NA,NA,NA,NA
Disporella pristis,NA,NA,NA,NA
Disporella testudinata,NA,NA,NA,NA
Disporella wanganuiensis,NA,NA,NA,NA
Disseta palumboi,NA,NA,NA,NA
Dissodactylus crinitichelis,NA,NA,NA,NA
Dissodactylus encopei,NA,NA,NA,NA
Dissodactylus mellitae,NA,NA,NA,NA
Dissodinium pseudolunula,NA,NA,NA,NA
Dissogenes petersi,NA,NA,NA,NA
Dissosteira carolina,NA,NA,NA,NA
Dissostichus eleginoides,fishes,NA,Dissostichus eleginoides,NA
Dissostichus mawsoni,fishes,NA,Dissostichus mawsoni,NA
Distaplia alaskensis,NA,NA,NA,NA
Distaplia bermudensis,NA,NA,NA,NA
Distaplia clavata,NA,NA,NA,NA
Distaplia occidentalis,NA,NA,NA,NA
Distaplia rosea,NA,NA,NA,NA
Disteira major,NA,NA,NA,NA
Distephanus longispina,vascular plants,NA,NA,NA
Distephanus speculum,NA,NA,NA,NA
Distichium capillaceum,NA,NA,NA,NA
Distichopora violacea,NA,NA,NA,NA
Distomus variolosus,NA,NA,NA,NA
Distorsio clathrata,NA,NA,NA,NA
Distorsio constricta,NA,NA,NA,NA
Distorsio perdistorta,NA,NA,NA,NA
Distorsio reticulata,NA,NA,NA,NA
Distromium decumbens,NA,NA,NA,NA
Distromium flabellatum,NA,NA,NA,NA
Disyringa dissimilis,NA,NA,NA,NA
Disyringa tribrachium,NA,NA,NA,NA
Dithyrea wislizenii,vascular plants,NA,NA,NA
Ditria expleta,NA,NA,NA,NA
Ditrichocorycaeus andrewsi,NA,NA,NA,NA
Ditrichocorycaeus anglicus,NA,NA,NA,NA
Ditrichocorycaeus asiaticus,NA,NA,NA,NA
Ditrichocorycaeus aucklandicus,NA,NA,NA,NA
Ditrichocorycaeus dahli,NA,NA,NA,NA
Ditrichocorycaeus erythraeus,NA,NA,NA,NA
Ditrichocorycaeus lubbocki,NA,NA,NA,NA
Ditrichocorycaeus minimus,NA,NA,NA,NA
Ditrichocorycaeus subtilis,NA,NA,NA,NA
Ditrichocorycaeus tenuis,NA,NA,NA,NA
Ditrichum flexicaule,NA,NA,NA,NA
Ditropichthys storeri,fishes,NA,Ditropichthys storeri,NA
Ditrupa arietina,NA,NA,NA,NA
Dittomesia crispa,NA,NA,NA,NA
Ditula angustiorana,NA,NA,NA,NA
Ditylum brightwellii,NA,NA,NA,NA
Diurnea fagella,NA,NA,NA,NA
Divaricella dentata,NA,NA,NA,NA
Divaricella quadrisulcata,NA,NA,NA,NA
Doba caspi,NA,NA,NA,NA
Dodecaceria caulleryi,NA,NA,NA,NA
Dodecaceria concharum,NA,NA,NA,NA
Dodecaceria coralii,NA,NA,NA,NA
Dodecaceria corallii,NA,NA,NA,NA
Dodecaceria diceria,NA,NA,NA,NA
Dodecaceria fewkesi,NA,NA,NA,NA
Dodecaceria fimbriata,NA,NA,NA,NA
Dodecaceria laddi,NA,NA,NA,NA
Dodecamastus mariaensis,NA,NA,NA,NA
Dodona ouida,NA,NA,NA,NA
Doederleinia berycoides,fishes,NA,Doederleinia berycoides,NA
Dolabella auricularia,NA,NA,NA,NA
Dolicholagus longirostris,fishes,NA,Dolicholagus longirostris,NA
Dolichonyx oryzivorus,birds,NA,NA,Dolichonyx oryzivorus
Dolichopteryx longipes,fishes,NA,Dolichopteryx longipes,NA
Dolichus halensis,NA,NA,NA,NA
Doliolina intermedium,NA,NA,NA,NA
Doliolum denticulatum,NA,NA,NA,NA
Doliolum gegenbauri,NA,NA,NA,NA
Doliolum nationalis,NA,NA,NA,NA
Dolloidraco longedorsalis,fishes,NA,Dolloidraco longedorsalis,NA
Domene crassicornis,NA,NA,NA,NA
Domene curtipennis,NA,NA,NA,NA
Domosclerus rugatus,NA,NA,NA,NA
Donacaula forficella,NA,NA,NA,NA
Donacaula mucronella,NA,NA,NA,NA
Donax fossor,NA,NA,NA,NA
Donax gouldii,NA,NA,NA,NA
Donax texasianus,NA,NA,NA,NA
Donax variabilis,NA,NA,NA,NA
Donax variegatus,NA,NA,NA,NA
Donax vittatus,NA,NA,NA,NA
Doratonotus megalepis,fishes,NA,Doratonotus megalepis,NA
Dorcatoma chrysomelina,NA,NA,NA,NA
Doridella obscura,NA,NA,NA,NA
Doriopsilla peculiaris,NA,NA,NA,NA
Doriopsilla pharpa,NA,NA,NA,NA
Dorippe quadridens,NA,NA,NA,NA
Doriprismatica atromarginata,NA,NA,NA,NA
Doris sticta,NA,NA,NA,NA
Doris verrucosa,NA,NA,NA,NA
Doronicum grandiflorum,vascular plants,Doronicum grandiflorum Lam.,NA,NA
Doropygus pulex,NA,NA,NA,NA
Dorosoma cepedianum,fishes,NA,Dorosoma cepedianum,NA
Dorvillea annulata,NA,NA,NA,NA
Dorvillea cerasina,NA,NA,NA,NA
Dorvillea clavata,NA,NA,NA,NA
Dorvillea dorvillea,NA,NA,NA,NA
Dorvillea kastjani,NA,NA,NA,NA
Dorvillea largidentis,NA,NA,NA,NA
Dorvillea longi,NA,NA,NA,NA
Dorvillea longicornis,NA,NA,NA,NA
Dorvillea pseudorubrovittata,NA,NA,NA,NA
Dorvillea rubra,NA,NA,NA,NA
Dorvillea rubrovittata,NA,NA,NA,NA
Dorvillea rudolphi,NA,NA,NA,NA
Dorvillea schistomeringos,NA,NA,NA,NA
Dorvillea sociabilis,NA,NA,NA,NA
Dorvillea sociablis,NA,NA,NA,NA
Dorvillea socialis,NA,NA,NA,NA
Dorycnium hirsutum,vascular plants,Lotus hirsutus L.,NA,NA
Dorycnium pentaphyllum,vascular plants,Lotus dorycnium L.,NA,NA
Doryichthys boaja,fishes,NA,Doryichthys boaja,NA
Doryphora aromatica,vascular plants,Doryphora aromatica (F.M.Bailey) L.S.Sm.,NA,NA
Doryporella spathulifera,NA,NA,NA,NA
Doryteuthis pealeii,NA,NA,NA,NA
Doryteuthis plei,NA,NA,NA,NA
Doryteuthis pleii,NA,NA,NA,NA
Dorytomus hirtipennis,NA,NA,NA,NA
Dorytomus ictor,NA,NA,NA,NA
Dorytomus longimanus,NA,NA,NA,NA
Dorytomus rufatus,NA,NA,NA,NA
Dorytomus taeniatus,NA,NA,NA,NA
Dosinia altenai,NA,NA,NA,NA
Dosinia deshayesii,NA,NA,NA,NA
Dosinia discus,NA,NA,NA,NA
Dosinia elegans,NA,NA,NA,NA
Dosinia exoleta,NA,NA,NA,NA
Dosinia histrio,NA,NA,NA,NA
Dosinia japonicum,NA,NA,NA,NA
Dosinia lupina,NA,NA,NA,NA
Dosinia lupinus,NA,NA,NA,NA
Dosinia spa,NA,NA,NA,NA
Dosinia spec,NA,NA,NA,NA
Dotalabrus alleni,fishes,NA,Dotalabrus alleni,NA
Dotalabrus aurantiacus,fishes,NA,Dotalabrus aurantiacus,NA
Doto columbiana,NA,NA,NA,NA
Doto coronata,NA,NA,NA,NA
Doto cuspidata,NA,NA,NA,NA
Doto dunnei,NA,NA,NA,NA
Doto eireana,NA,NA,NA,NA
Doto fragilis,NA,NA,NA,NA
Doto hystrix,NA,NA,NA,NA
Doto koenneckeri,NA,NA,NA,NA
Doto kya,NA,NA,NA,NA
Doto lemchei,NA,NA,NA,NA
Doto maculata,NA,NA,NA,NA
Doto millbayana,NA,NA,NA,NA
Doto nigra,NA,NA,NA,NA
Doto pinnatifida,NA,NA,NA,NA
Doto tuberculata,NA,NA,NA,NA
Dotyella hawaiiensis,NA,NA,NA,NA
Dougaloplus amphacanthus,NA,NA,NA,NA
Dougaloplus echinata,NA,NA,NA,NA
Downy woodpecker,NA,NA,NA,NA
Doxodasya bolbochaete,NA,NA,NA,NA
Draba aizoides,vascular plants,Draba aizoides L.,NA,NA
Draba corymbosa,vascular plants,Draba corymbosa R.Br. ex DC.,NA,NA
Draba cuneifolia,vascular plants,Tomostima cuneifolia (Nutt. ex Torr. & A.Gray) Al-Shehbaz & al.,NA,NA
Draba incana,vascular plants,Draba incana L.,NA,NA
Draba lactea,vascular plants,Draba lactea Adams,NA,NA
Draba micropetala,vascular plants,Draba micropetala Hook.,NA,NA
Draba nemorosa,vascular plants,Draba nemorosa L.,NA,NA
Draba norvegica,vascular plants,Draba norvegica Gunnerus,NA,NA
Draba reptans,vascular plants,Tomostima reptans (Lam.) Al-Shehbaz & al.,NA,NA
Draba subcapitata,vascular plants,Draba subcapitata Simmons,NA,NA
Dracaena brachystachys,vascular plants,Dracaena brachystachys Hook.f.,NA,NA
Dracaena elliptica,vascular plants,Dracaena elliptica Thunb.,NA,NA
Dracaena tetrastachys,NA,NA,NA,NA
Drachiella heterocarpa,NA,NA,NA,NA
Drachiella spectabilis,NA,NA,NA,NA
Dracontomelon dao,vascular plants,Dracontomelon dao (Blanco) Merr. & Rolfe,NA,NA
Dragmacidon australis,NA,NA,NA,NA
Dreissena polymorpha,NA,NA,NA,NA
Drepana arcuata,NA,NA,NA,NA
Drepana bilineata,NA,NA,NA,NA
Drepana curvatula,NA,NA,NA,NA
Drepana falcataria,NA,NA,NA,NA
Drepane longimana,fishes,NA,Drepane longimana,NA
Drepane punctata,fishes,NA,Drepane punctata,NA
Drepanocladus aduncus,NA,NA,NA,NA
Drepanocladus revolvens,NA,NA,NA,NA
Drepanocladus uncinatus,NA,NA,NA,NA
Drepanophora rogickae,NA,NA,NA,NA
Drepanopus bungei,NA,NA,NA,NA
Drepanopus forcipatus,NA,NA,NA,NA
Drepanorchis neglecta,NA,NA,NA,NA
Drepanulatrix carnearia,NA,NA,NA,NA
Drepanulatrix falcataria,NA,NA,NA,NA
Drepanulatrix foeminaria,NA,NA,NA,NA
Drepanulatrix monicaria,NA,NA,NA,NA
Drepanulatrix quadraria,NA,NA,NA,NA
Drepanulatrix secundaria,NA,NA,NA,NA
Drepanulatrix unicalcararia,NA,NA,NA,NA
Drilaster axillaris,NA,NA,NA,NA
Drillia acurugata,NA,NA,NA,NA
Drillia cydia,NA,NA,NA,NA
Drillia solida,NA,NA,NA,NA
Drilonereis caulleryi,NA,NA,NA,NA
Drilonereis debilis,NA,NA,NA,NA
Drilonereis falcata,NA,NA,NA,NA
Drilonereis filum,NA,NA,NA,NA
Drilonereis longa,NA,NA,NA,NA
Drilonereis magna,NA,NA,NA,NA
Drilonereis mexicana,NA,NA,NA,NA
Drilonereis monroi,NA,NA,NA,NA
Drilonereis nuda,NA,NA,NA,NA
Drilonereis robustus,NA,NA,NA,NA
Drilonereis spa,NA,NA,NA,NA
Drilonereis spb,NA,NA,NA,NA
Drilonereis spc,NA,NA,NA,NA
Drimycarpus luridus,vascular plants,Drimycarpus luridus (Hook.f.) DingHou,NA,NA
Drimys brasiliensis,vascular plants,Drimys brasiliensis Miers,NA,NA
Dromediopsis dubia,NA,NA,NA,NA
Dromia dehaan,NA,NA,NA,NA
Dromia erythropus,NA,NA,NA,NA
Dromia personata,NA,NA,NA,NA
Dromidia antillensis,NA,NA,NA,NA
Dromidiopsis australiensis,NA,NA,NA,NA
Dromidiopsis edwardsi,NA,NA,NA,NA
Dromidiopsis lethrinusae,NA,NA,NA,NA
Dromius angustus,NA,NA,NA,NA
Dromius batesi,NA,NA,NA,NA
Dromius linearis,NA,NA,NA,NA
Dromius quadrimaculatus,NA,NA,NA,NA
Dromius spilotus,NA,NA,NA,NA
Drosanthemum candens,vascular plants,Drosanthemum candens (Haw.) Schwantes,NA,NA
Drosera aliciae,vascular plants,Drosera aliciae Raym.-Hamet,NA,NA
Drosera montana,vascular plants,Drosera montana A.St.-Hil.,NA,NA
Drosera trinervia,vascular plants,Drosera trinervia Spreng.,NA,NA
Druridgia compressa,NA,NA,NA,NA
Drusilla aino,NA,NA,NA,NA
Drusilla sparsa,NA,NA,NA,NA
Drusus annulatus,NA,NA,NA,NA
Drusus biguttatus,NA,NA,NA,NA
Dryas integrifolia,vascular plants,Dryas integrifolia Vahl,NA,NA
Dryas octopetala,vascular plants,Dryas octopetala L.,NA,NA
Drymaria glandulosa,vascular plants,Drymaria glandulosa Bartl.,NA,NA
Dryocoetes autographus,NA,NA,NA,NA
Dryocoetes hectographus,NA,NA,NA,NA
Dryocopus martius,birds,NA,NA,Dryocopus martius
Dryocopus pileatus,birds,NA,NA,Dryocopus pileatus
Dryodora glandiformis,NA,NA,NA,NA
Dryophilus pusillus,NA,NA,NA,NA
Dryophthorus konishii,NA,NA,NA,NA
Dryops luridus,NA,NA,NA,NA
Dryops similaris,NA,NA,NA,NA
Dryotype opina,NA,NA,NA,NA
Drypetes acuminata,vascular plants,Drypetes acuminata P.I.Forst.,NA,NA
Drypetes confertiflora,vascular plants,Drypetes confertiflora (Hook.f.) Pax & K.Hoffm.,NA,NA
Drypetes elata,vascular plants,Drypetes venusta (Wight) Pax & K.Hoffm.,NA,NA
Drypetes kikir,vascular plants,Drypetes kikir AiryShaw,NA,NA
Drypetes laevis,vascular plants,Drypetes laevis (Miq.) Pax & K.Hoffm.,NA,NA
Drypetes longifolia,vascular plants,Drypetes longifolia (Blume) Pax & K.Hoffm.,NA,NA
Drypetes microphylla,vascular plants,Drypetes microphylla (Merr.) Pax & K.Hoffm.,NA,NA
Drypetes oblongifolia,vascular plants,Drypetes oblongifolia (Bedd.) AiryShaw,NA,NA
Drypetes pendula,vascular plants,Drypetes pendula Ridl.,NA,NA
Drypetes polyneura,vascular plants,Drypetes polyneura AiryShaw,NA,NA
Drypetes rhakodiskos,vascular plants,Drypetes rhakodiskos (Hassk.) Bakh.f.,NA,NA
Drypetes standleyi,vascular plants,Drypetes standleyi G.L.Webster,NA,NA
